
2024/03/03 (10:57:16) | ===> btop++ v.1.3.2
2024/03/03 (10:57:16) | ERROR: Stall in Runner thread, restarting!
2024/03/03 (10:58:00) | ERROR: Stall in Runner thread, restarting!

2024/03/05 (10:39:44) | ===> btop++ v.1.3.2
2024/03/05 (10:39:44) | ERROR: Stall in Runner thread, restarting!
2024/03/05 (10:41:01) | ERROR: Stall in Runner thread, restarting!
2024/03/05 (10:45:11) | ERROR: Stall in Runner thread, restarting!

2024/03/06 (10:54:53) | ===> btop++ v.1.3.2
2024/03/06 (10:54:53) | ERROR: Stall in Runner thread, restarting!
2024/03/06 (11:56:05) | ERROR: Stall in Runner thread, restarting!
2024/03/07 (13:21:50) | ERROR: Stall in Runner thread, restarting!

2024/03/08 (19:48:53) | ===> btop++ v.1.3.2
2024/03/08 (19:48:53) | ERROR: Stall in Runner thread, restarting!

2024/04/10 (22:14:19) | ===> btop++ v.1.3.2
2024/04/10 (22:14:19) | ERROR: Stall in Runner thread, restarting!

2024/04/28 (18:00:31) | ===> btop++ v.1.3.2
2024/04/28 (18:00:31) | ERROR: failed getting network interfaces

2024/05/06 (01:15:52) | ===> btop++ v.1.3.2
2024/05/06 (01:15:52) | ERROR: failed getting network interfaces

2024/05/08 (20:46:05) | ===> btop++ v.1.3.2
2024/05/08 (20:46:05) | ERROR: failed getting network interfaces

2024/06/12 (18:41:43) | ===> btop++ v.1.3.2
2024/06/12 (18:41:43) | ERROR: failed getting network interfaces

2024/06/23 (15:31:16) | ===> btop++ v.1.3.2
2024/06/23 (15:31:16) | ERROR: Stall in Runner thread, restarting!

2024/07/02 (18:20:43) | ===> btop++ v.1.3.2
2024/07/02 (18:20:43) | ERROR: failed getting network interfaces
2024/07/03 (08:54:50) | ERROR: failed getting network interfaces

2024/07/08 (19:04:32) | ===> btop++ v.1.3.2
2024/07/08 (19:04:32) | ERROR: failed getting network interfaces

2024/07/10 (13:15:58) | ===> btop++ v.1.3.2
2024/07/10 (13:15:58) | ERROR: Stall in Runner thread, restarting!

2024/09/08 (08:12:20) | ===> btop++ v.1.3.2
2024/09/08 (08:12:20) | ERROR: failed getting network interfaces

2024/10/18 (10:57:20) | ===> btop++ v.1.4.0
2024/10/18 (10:57:20) | ERROR: Stall in Runner thread, restarting!

2024/11/10 (23:14:19) | ===> btop++ v.1.4.0
2024/11/10 (23:14:19) | ERROR: Stall in Runner thread, restarting!
